Name,ID,Title,,print,digitized copy,Source,prose/verse
Josef Eberle,https://www.wikidata.org/wiki/Q98789,Ars fumatoria,"Echo Perennis/Nie verstummendes Echo, Stuttgart: Deutsche Verlags-Anstalt 1970, 82-103",,,,verse
Raphael Thorius,https://www.wikidata.org/wiki/Q16863799+,Hymnus tabaci,,,,,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Satyra contra abusum tabaci,,,,,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Medicinae gloria,,,,,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Fabula de herba Tabaco,,,,,verse
"Marie, Jean",,"Laus tabaci, sive Chymici metamorphosis in tabacum ",,,https://gallica.bnf.fr/ark:/12148/bpt6k9640295j,,verse
"Mander, Karel van",http://viaf.org/viaf/121932539,De pulvere Tabaci poema,Haffniae 1666,,,seidenschnurBeitrageZurKenntniss1847,verse
Petrus Scriverius,http://viaf.org/viaf/24732263,Saturnalia sive de usu et abusu tabaci,Harlem 1628,,https://books.google.de/books?id=e0wm326KXEEC,seidenschnurBeitrageZurKenntniss1847,verse
Petrus Bethius,http://d-nb.info/gnd/128704764,Vituperatio herbae Nicotianae quam vulgo Tabacum appellant,,,"https://www.digitale-sammlungen.de/en/view/bsb11103582?page=146,147",seidenschnurBeitrageZurKenntniss1847,verse
Petrus Bethius,http://d-nb.info/gnd/128704764,Tabaci laus vulgari quasi stylo expressa,,,"https://www.digitale-sammlungen.de/en/view/bsb11103582?page=148,149",seidenschnurBeitrageZurKenntniss1847,verse
James Duport,http://viaf.org/viaf/47704158,In Johannis Chrysostomi Magneni librum de Tabaco,,,https://books.google.de/books?id=q7B6xwEACAAJ&hl=de&pg=PA69#v=onepage&q&f=false,seidenschnurBeitrageZurKenntniss1847,verse
James Duport,http://viaf.org/viaf/47704158,Aenigma de tabaco,,,https://books.google.de/books?id=q7B6xwEACAAJ&hl=de&pg=PA74#v=onepage&q&f=false,seidenschnurBeitrageZurKenntniss1847,verse
Vincenzo Libassi,http://viaf.org/viaf/89173871,In abusum tabachi,,,https://books.google.de/books?id=Hpf0ngds5ysC&pg=PA50,seidenschnurBeitrageZurKenntniss1847,verse
Jacobus Balde,https://www.wikidata.org/wiki/Q65850,Digressio ad Pulverem Nicotianum,"Selecta poemata anglorum latina, 1774, 83-84 (extract from Satyra contra abusum tabaci)",,,seidenschnurBeitrageZurKenntniss1847,verse
Johann Neander,https://www.wikidata.org/wiki/Q15821352,Tabacologia,,,"https://www.digitale-sammlungen.de/en/view/bsb10226785?page=,1",,prose
Jacobus Tappius,https://www.wikidata.org/wiki/Q105044,Oratio de tabaco ejusque hodierno abusu,,,"https://www.digitale-sammlungen.de/en/view/bsb10646212?page=,1",,prose
Johann Nicolaus Baumann,https://d-nb.info/gnd/129102474,"Dissertatio Inauguralis De Tabaci Virtutibus, Usu Et Abusu",,,https://digital.slub-dresden.de/werkansicht/dlf/24667/1,,prose
Aegidius Everartus,,De herba Panacea,,,,,prose
"Braun, Nicolaus",,Quaestiones Medicae De Fumo Tabaci,,,https://nbn-resolving.org/urn:nbn:de:bvb:29-bv040728821-7,,prose
"Kestner, Heinrich Ernst ",http://d-nb.info/gnd/122950054,Dissertatio De Iure Tabaci,,,http://nbn-resolving.de/urn:nbn:de:gbv:3:1-524502,,prose
"Friderici, Johann Arnold ",http://d-nb.info/gnd/11536062X,Tabakologia sive de Tabaco Dissertatio,,,http://vd17.bibliothek.uni-halle.de/pict/2006/3:684802X/,,prose
"Dorsten, Johann Daniel",http://d-nb.info/gnd/115784748,Disputatio Botanica De Tabaco Toback,,,http://resolver.sub.uni-goettingen.de/purl?PPN770925197,,prose
"Holler, Franz",http://d-nb.info/gnd/120311216,"Usus Chocolatae, Thee, Caffe, & Tabaci Abusus Vitae Longae, & Sanitati Contrarius",,,http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10960499-8,,prose
Ignjat Đurđević,https://www.wikidata.org/wiki/Q1394267,DE HERBA TABACCO METAMORPHOSIS,,,http://solr.ffzg.hr/philo4/croala0/navigate/134/1/?byte=25062,"Neven Jovanović, https://twitter.com/a_winkler3/status/1420301705061748737",verse
